,Rk,Team,Conf,W-L,BPI_OFF,BPI_DEF,BPI
0,1.0,Virginia,ACC,29-3,12.1,11.7,23.8
1,2.0,Gonzaga,WCC,30-3,14.4,8.5,22.9
2,3.0,Duke,ACC,29-5,10.8,10.9,21.7
3,4.0,Michigan State,Big Ten,28-6,10.9,8.9,19.7
4,5.0,North Carolina,ACC,27-6,10.6,8.6,19.2
5,6.0,Michigan,Big Ten,28-6,6.6,11.2,17.8
6,7.0,Kentucky,SEC,27-6,9.6,8.1,17.7
7,8.0,Tennessee,SEC,29-5,11.3,6.0,17.2
8,9.0,Texas Tech,Big 12,26-6,5.3,11.6,16.9
9,10.0,Purdue,Big Ten,23-9,11.0,5.7,16.7
10,11.0,Virginia Tech,ACC,24-8,10.0,6.6,16.6
11,12.0,Auburn,SEC,26-9,9.7,5.9,15.6
12,13.0,Houston,American,31-3,7.1,7.7,14.8
13,14.0,Wisconsin,Big Ten,23-10,5.2,9.6,14.8
14,15.0,Iowa State,Big 12,23-11,9.0,5.3,14.4
15,16.0,Florida State,ACC,27-7,6.0,8.4,14.4
16,17.0,Wofford,Southern,29-4,10.0,4.1,14.1
17,18.0,Louisville,ACC,20-13,6.8,7.1,13.9
18,19.0,Kansas,Big 12,25-9,6.4,7.2,13.6
19,20.0,Nevada,MW,29-4,7.2,6.0,13.2
20,21.0,Villanova,Big East,25-9,8.9,4.1,13.0
21,22.0,Mississippi State,SEC,23-10,8.5,4.5,13.0
22,23.0,LSU,SEC,26-6,8.8,4.0,12.8
23,24.0,Buffalo,MAC E,31-3,6.9,5.9,12.8
24,25.0,Kansas State,Big 12,25-8,2.5,10.1,12.6
25,26.0,NC State,ACC,22-11,7.0,5.3,12.3
26,27.0,Marquette,Big East,24-9,6.1,6.1,12.2
27,28.0,Maryland,Big Ten,22-10,6.2,5.9,12.1
28,29.0,Cincinnati,American,28-6,5.1,6.7,11.8
29,30.0,Florida,SEC,19-15,4.4,7.2,11.6
30,31.0,Clemson,ACC,19-13,3.4,8.2,11.6
31,32.0,Texas,Big 12,16-16,6.0,5.2,11.2
32,33.0,Syracuse,ACC,20-13,3.7,7.2,10.9
33,34.0,Saint Mary's,WCC,22-11,7.6,3.2,10.8
34,35.0,Nebraska,Big Ten,18-16,5.2,5.3,10.5
35,36.0,VCU,A 10,25-7,0.3,10.1,10.4
36,37.0,Oregon,Pac-12,23-12,3.0,7.2,10.2
37,38.0,Iowa,Big Ten,22-11,8.8,1.4,10.2
38,39.0,Oklahoma,Big 12,19-13,3.4,6.8,10.1
39,40.0,Ohio State,Big Ten,19-14,3.6,6.3,9.9
40,41.0,Baylor,Big 12,19-13,6.0,3.9,9.9
41,42.0,UCF,American,23-8,3.8,5.9,9.6
42,43.0,Indiana,Big Ten,17-15,3.6,5.9,9.5
43,44.0,Utah State,MW,28-6,4.7,4.6,9.3
44,45.0,Creighton,Big East,18-14,7.3,1.8,9.1
45,46.0,Ole Miss,SEC,20-12,5.1,3.9,9.0
46,47.0,Belmont,OVC,26-5,7.3,1.7,9.0
47,48.0,Penn State,Big Ten,14-18,2.5,6.4,8.9
48,49.0,Murray State,OVC,27-4,5.7,3.2,8.9
49,50.0,TCU,Big 12,20-13,4.2,4.6,8.8
