,Rk,Team,w,l,power,sched,offen,defen
0,1.0,Gonzaga,30.0,3.0,77.99,54.32,88.85,65.06
1,2.0,Virginia,29.0,3.0,75.13,57.94,71.5,54.75
2,3.0,Duke,29.0,5.0,74.93,60.85,83.32,67.26
3,4.0,North Carolina,27.0,6.0,72.87,60.47,85.73,72.7
4,5.0,Kentucky,27.0,6.0,71.58,59.19,76.33,65.0
5,6.0,Michigan State,28.0,6.0,71.14,58.93,78.24,64.71
6,7.0,Tennessee,29.0,5.0,70.94,57.86,80.82,67.59
7,8.0,Michigan,28.0,6.0,69.65,57.81,70.38,58.56
8,9.0,Texas Tech,26.0,6.0,69.39,56.49,72.69,59.0
9,10.0,Purdue,23.0,9.0,68.54,58.94,75.44,66.47
10,11.0,Auburn,26.0,9.0,67.45,57.37,78.91,67.83
11,12.0,Houston,31.0,3.0,67.43,53.51,75.62,61.24
12,13.0,Nevada,29.0,4.0,67.43,52.57,80.67,66.67
13,14.0,Florida State,27.0,7.0,67.12,58.83,73.53,66.29
14,15.0,Buffalo,31.0,3.0,66.71,51.81,84.5,70.24
15,16.0,Virginia Tech,24.0,8.0,66.56,56.4,73.69,61.44
16,17.0,Iowa State,23.0,11.0,66.09,57.71,77.44,68.32
17,18.0,L.S.U.,26.0,6.0,65.93,57.82,79.0,71.0
18,19.0,Kansas,25.0,9.0,65.71,61.35,74.0,69.24
19,20.0,Mississippi State,23.0,10.0,65.33,58.7,76.97,69.48
20,21.0,Kansas State,25.0,8.0,65.28,57.68,65.82,59.24
21,22.0,Wisconsin,23.0,10.0,65.22,58.33,68.0,60.21
22,23.0,Villanova,25.0,9.0,64.89,56.83,73.35,66.06
23,24.0,Louisville,20.0,13.0,64.67,60.08,73.39,66.45
24,25.0,Cincinnati,28.0,6.0,64.34,54.44,71.0,61.71
25,26.0,Clemson,19.0,13.0,64.07,57.95,69.03,63.81
26,27.0,Marquette,24.0,9.0,63.69,56.34,76.42,68.09
27,28.0,Wofford,29.0,4.0,63.58,46.02,82.15,64.85
28,29.0,Florida,19.0,15.0,63.04,59.37,67.15,62.76
29,30.0,Maryland,22.0,10.0,62.94,57.79,71.34,65.06
30,31.0,Texas,16.0,16.0,62.87,60.09,70.06,66.34
31,32.0,St. Mary's,22.0,11.0,62.85,54.54,72.67,63.91
32,33.0,Utah State,28.0,6.0,62.85,50.37,78.47,66.41
33,34.0,Syracuse,20.0,13.0,62.8,59.12,69.42,65.48
34,35.0,North Carolina State,22.0,11.0,62.33,55.3,78.82,69.73
35,36.0,Oregon,23.0,12.0,61.87,54.72,70.03,62.51
36,37.0,Central Florida,23.0,8.0,61.56,54.3,71.97,64.06
37,38.0,Mississippi,20.0,12.0,61.35,57.0,75.09,69.94
38,39.0,Virginia Commonwealth,25.0,7.0,61.34,52.88,71.03,61.16
39,40.0,Oklahoma,19.0,13.0,61.32,59.95,70.84,68.13
40,41.0,Baylor,19.0,13.0,61.18,57.51,71.25,66.81
41,42.0,Washington,26.0,8.0,60.81,55.67,69.38,64.09
42,43.0,New Mexico State,30.0,4.0,60.61,46.96,78.15,64.15
43,44.0,T.C.U.,20.0,13.0,60.58,58.21,73.0,68.73
44,45.0,Creighton,18.0,14.0,60.38,56.89,77.25,72.13
45,46.0,Iowa,22.0,11.0,60.09,56.76,77.61,73.06
46,47.0,Arizona State,22.0,10.0,60.08,55.08,76.59,72.19
47,48.0,Belmont,26.0,5.0,60.06,46.96,86.71,73.0
48,49.0,Penn State,14.0,18.0,59.64,59.03,69.16,67.69
49,50.0,Seton Hall,20.0,13.0,59.51,57.54,73.15,70.52
50,51.0,Ohio State,19.0,14.0,59.47,57.95,69.52,65.91
51,52.0,Minnesota,21.0,13.0,59.33,58.27,70.32,68.85
52,53.0,Indiana,17.0,15.0,59.21,58.34,70.5,66.75
53,54.0,Dayton,21.0,11.0,59.14,52.6,72.28,65.25
54,55.0,Alabama,18.0,15.0,59.07,58.74,71.79,71.3
55,56.0,Murray State,27.0,4.0,59.06,44.84,83.29,67.77
56,57.0,Memphis,21.0,13.0,58.99,54.37,79.85,74.18
57,58.0,Lipscomb,25.0,7.0,58.79,45.38,83.44,69.03
58,59.0,Nebraska,18.0,16.0,58.79,58.04,71.24,66.09
