,Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS
0,1,Virginia 1,ACC,29-3,35.66,123.6,87.9,59.3,0.024,-2.82
1,2,Gonzaga 1,WCC,30-3,32.79,125.1,92.3,69.8,0.008,1.98
2,3,Duke 1,ACC,29-5,31.99,120.1,88.1,72.2,0.018,5.48
3,4,Michigan St. 2,B10,28-6,31.36,121.7,90.4,67.4,-0.007,3.15
4,5,Michigan 2,B10,28-6,29.44,115.5,86.1,64.4,-0.014,-4.94
5,6,North Carolina 1,ACC,27-6,29.17,119.9,90.7,74.3,0.024,5.77
6,7,Kentucky 2,SEC,27-6,27.41,118.2,90.8,65.8,0.037,2.26
7,8,Tennessee 2,SEC,29-5,26.98,122.5,95.5,67.7,0.038,1.36
8,9,Texas Tech 3,B12,26-6,26.75,112.7,85.9,66.5,0.004,-5.02
9,10,Purdue 3,B10,23-9,26.05,121.1,95.0,65.6,-0.012,4.33
10,11,Virginia Tech 4,ACC,24-8,24.47,118.4,94.0,63.3,0.002,-6.04
11,12,Wisconsin 5,B10,23-10,23.68,110.8,87.1,63.6,-0.026,3.56
12,13,Auburn 5,SEC,26-9,23.33,119.6,96.2,67.5,0.003,2.81
13,14,Florida St. 4,ACC,27-7,22.56,113.0,90.4,68.3,0.045,1.1
14,15,Houston 3,Amer,31-3,22.42,114.1,91.7,66.1,0.057,-3.81
15,16,Iowa St. 6,B12,23-11,21.85,119.0,97.1,67.6,-0.051,-1.45
16,17,Louisville 7,ACC,20-13,20.97,113.4,92.4,67.1,-0.054,6.05
17,18,LSU 3,SEC,26-6,20.97,118.5,97.5,69.9,0.035,3.09
18,19,Wofford 7,SC,29-4,20.71,118.4,97.6,65.6,0.06,8.4
19,20,Kansas 4,B12,25-9,20.71,112.7,92.0,69.9,0.088,10.99
20,21,Mississippi St. 5,SEC,23-10,20.68,117.4,96.7,67.4,-0.027,2.49
21,22,Buffalo 6,MAC,31-3,20.34,114.9,94.6,73.8,0.041,1.58
22,23,Kansas St. 4,B12,25-8,20.22,108.0,87.7,63.0,0.061,-0.5
23,24,Maryland 6,B10,22-10,19.98,113.8,93.8,65.6,0.001,-4.62
24,25,Nevada 7,MWC,29-4,18.92,114.0,95.1,69.2,0.039,1.99
25,26,Villanova 6,BE,25-9,18.77,117.0,98.2,63.6,0.017,3.63
26,27,Marquette 5,BE,24-9,18.42,114.2,95.7,68.6,0.007,0.79
27,28,Florida 10,SEC,19-15,18.32,110.2,91.9,62.7,-0.072,5.39
28,29,Clemson,ACC,19-13,17.94,108.7,90.7,66.0,-0.069,1.16
29,30,Texas,B12,16-16,17.89,114.1,96.2,64.2,-0.117,5.5
30,31,Saint Mary's 11,WCC,22-11,17.71,114.6,96.9,62.6,-0.033,-0.39
31,32,Cincinnati 7,Amer,28-6,17.05,111.6,94.5,63.2,0.06,-2.63
32,33,North Carolina St.,ACC,22-11,16.7,112.7,96.0,70.8,-0.009,-12.05
33,34,Utah St. 8,MWC,28-6,16.62,113.0,96.3,67.8,0.007,1.14
34,35,Syracuse 8,ACC,20-13,16.3,110.2,93.9,66.1,0.005,0.49
35,36,Iowa 10,B10,22-11,15.96,117.2,101.2,69.4,0.057,-6.6
36,37,VCU 8,A10,25-7,15.69,104.3,88.6,68.2,0.004,3.5
37,38,Oklahoma 9,B12,19-13,15.53,109.4,93.9,68.7,0.031,7.84
38,39,Nebraska,B10,18-16,15.53,112.6,97.0,66.3,-0.055,0.41
39,40,Penn St.,B10,14-18,15.42,109.5,94.1,67.5,-0.102,4.51
40,41,Baylor 9,B12,19-13,15.29,113.5,98.2,65.3,-0.032,-4.2
41,42,Indiana,B10,17-15,15.28,110.1,94.8,66.4,-0.044,-0.87
42,43,Oregon 12,P12,23-12,15.15,107.7,92.5,64.1,-0.039,0.26
43,44,Mississippi 8,SEC,20-12,15.08,112.8,97.7,68.3,-0.018,-0.78
44,45,Ohio St. 11,B10,19-14,15.08,109.3,94.2,65.7,0.005,-2.69
45,46,UCF 9,Amer,23-8,14.58,110.3,95.7,64.8,0.029,-3.42
46,47,Minnesota 10,B10,21-13,14.46,110.7,96.2,67.5,0.082,-2.79
47,48,TCU,B12,20-13,14.17,110.4,96.2,68.8,0.014,-0.84
48,49,New Mexico St. 12,WAC,30-4,13.59,112.6,99.0,65.6,0.061,-2.94
49,50,Creighton,BE,18-14,13.5,113.3,99.8,68.4,-0.045,5.69
50,51,Washington 9,P12,26-8,13.37,107.0,93.6,65.9,0.078,3.11
