Massey,BPI
Michigan St,Michigan State
Florida St,Florida State
Kansas St,Kansas State
Mississippi St,Mississippi State
Iowa St,Iowa State
VA Commonwealth,VCU
Utah St,Utah State
Mississippi,Ole Miss
Murray St,Murray State
Ohio St,Ohio State
St Mary's CA,Saint Mary's
New Mexico St,New Mexico State
Arizona St,Arizona State
Penn St,Penn State
St John's,St. John's
Fresno St,Fresno State
ETSU,East Tennessee State
Oregon St,Oregon State
Miami FL,Miami
Wichita St,Wichita State
Oklahoma St,Oklahoma State
S Dakota St,South Dakota State
Ga Southern,Georgia Southern
Georgia St,Georgia State
N Kentucky,Northern Kentucky
Col Charleston,Charleston
Connecticut,UConn
Penn,Pennsylvania
San Diego St,San Diego State
Kent,Kent State
St Louis,Saint Louis
Texas St,Texas State
WKU,Western Kentucky
Jacksonville St,Jacksonville State
C Michigan,Central Michigan
Loy Marymount,Loyola Marymount
Wright St,Wright State
St Bonaventure,St. Bonaventure
Abilene Chr,Abilene Christian
Ball St,Ball State
S Illinois,Southern Illinois
UT San Antonio,UTSA
NE Omaha,Omaha
E Michigan,Eastern Michigan
N Illinois,Northern Illinois
ULM,UL Monroe
N Colorado,Northern Colorado
Sam Houston St,Sam Houston State
Gardner Webb,Gardner-Webb
Boise St,Boise State
Coastal Car,Coastal Carolina
FL Atlantic,Florida Atlantic
St Joseph's PA,Saint Joseph's
UTRGV,UT Rio Grande Valley
Missouri St,Missouri State
Hawaii,Hawai'i
Florida Intl,Florida International
Illinois St,Illinois State
Colorado St,Colorado State
PFW,Purdue Fort Wayne
Charleston So,Charleston Southern
WI Green Bay,Green Bay
CS Fullerton,CSU Fullerton
Weber St,Weber State
Indiana St,Indiana State
IL Chicago,UIC
CS Bakersfield,CSU Bakersfield
Washington St,Washington State
N Dakota St,North Dakota State
Cal Baptist,California Baptist
TX Southern,Texas Southern
F Dickinson,Fairleigh Dickinson
Prairie View,Prairie View A&M
American Univ,American
Long Beach St,Long Beach State
Massachusetts,UMass
Appalachian St,Appalachian State
FL Gulf Coast,Florida Gulf Coast
Boston Univ,Boston University
E Washington,Eastern Washington
Norfolk St,Norfolk State
MTSU,Middle Tennessee
Arkansas St,Arkansas State
Montana St,Montana State
E Kentucky,Eastern Kentucky
Missouri KC,UMKC
Portland St,Portland State
Detroit,Detroit Mercy
Ark Little Rock,Little Rock
Citadel,The Citadel
Morehead St,Morehead State
MA Lowell,UMass Lowell
CS Northridge,CSU Northridge
Monmouth NJ,Monmouth
W Michigan,Western Michigan
CS Sacramento,Sacramento State
Youngstown St,Youngstown State
Albany NY,Albany
Houston Bap,Houston Baptist
G Washington,George Washington
Cleveland St,Cleveland State
TN Martin,UT Martin
E Illinois,Eastern Illinois
SF Austin,Stephen F. Austin
Cent Arkansas,Central Arkansas
W Carolina,Western Carolina
NC Central,North Carolina Central
WI Milwaukee,Milwaukee
W Illinois,Western Illinois
Nicholls St,Nicholls
Idaho St,Idaho State
Tennessee St,Tennessee State
St Peter's,Saint Peter's
Ark Pine Bluff,Arkansas-Pine Bluff
Central Conn,Central Connecticut
Jackson St,Jackson State
Mt St Mary's,Mt. St. Mary's
SIUE,SIU-Edwardsville
Alabama St,Alabama State
McNeese St,Mc
Northwestern LA,Northwestern State
Morgan St,Morgan State
Savannah St,Savannah State
Kennesaw,Kennesaw State
Southern Univ,Southern
San Jose St,San José St
S Carolina St,South Carolina State
SC Upstate,South Carolina Upstate
Coppin St,Coppin State
Alcorn St,Alcorn State
MS Valley St,Mississippi Valley State
MD E Shore,Maryland-Eastern Shore
Chicago St,Chicago State
Delaware St,Delaware State
